sign_id,phrase
61,Vinte
62,Sozinho
63,Solteiro
64,Algo
65,Sempre
66,Espera
67,Um
69,Letra A
70,Pouco
71,Abandonar
72,Aborto
73,Acima
75,"Exceder (passar, ir além)"
76,Superior
77,Adulto
78,Criança
79,Crescer
80,Máximo
81,Mais do que
82,Embaixo
83,Em cima
84,Elementar
86,Acidente
87,Acompanhar
88,Morar junto
89,Namorar
90,Culpar
91,Agir (fazer)
92,Agressivo
93,Acrescentar
94,Total
95,Entrar
96,Admitir
97,Aconselhar
98,Com medo
99,Tarde
100,À tarde toda
101,De novo
102,Com frequência
103,Mil
104,Milhão
105,Bilhão
106,Idoso
107,Concordar
108,Ar
109,Avião
110,Voar de avião
111,Alarme
112,Álcool
113,Sarcasmo
114,Todos
115,O dia todo
116,Acabar
117,Tudo certo
118,Jacaré
119,Permitir
121,Entre
122,Analisar
123,Geração
124,Geração atrás
125,Outro
126,Resposta
127,Pedir
129,Maçã (rosto)
130,Qualquer
131,Surdo
132,Aplauso
133,Nomear
134,Compromisso marcado
135,Regular
136,Aprovar
137,Selo
138,Proibir (vetar)
139,Disparar flecha
140,Guitarra
141,Chegar
142,Arte
143,Artigo
144,Capítulo
145,Interação social
146,Audiência
147,Tio
150,Acordar (alarme)
151,Surpresa
152,Atônito
153,Maravilhado
154,Ir embora (partir)
155,Estranho
156,Letra B
157,Bebê
158,Lembrar (ter em mente)
159,Passado
160,Mochila
161,Careca
162,Bola
163,Balão
164,Banana
165,Barra (haste)
166,Beisebol
167,Cesta (de feira)
168,Bolsa
169,Saco de lixo
170,Basquetebol
171,Banho
172,Biquini
173,Banheiro
174,Barulho
175,Imparcial (neutro)
176,Gritar
178,Cuidado
179,Manter (guardar)
180,Supervisionar
181,Atitude
182,Mar (oceano)
183,Urso
184,Praia
185,Ir
186,Sucesso
187,Assalto
188,Por que
189,Cama
190,Implorar (pedir)
191,Campainha
192,Pertencer
193,Desconectar
194,Colaborar
196,Benefício
197,Melhor
198,Bicicleta
199,Grande (enorme)
200,Cabeçudo
201,Pequeno
202,Perder peso
203,Pássaro
204,Pato
205,Mordida (picada)
206,Cobertor
207,Abençoar
208,Cego
212,Assim
213,Parentesco
214,Açúcar
215,Adaptar
216,Agradável
217,Ambos
218,Aniversário
220,Aposto
221,Armário
222,Assistir
223,Azul
224,Barato
225,Barco
226,Boi
227,Bolo
228,Bomba
229,Borboleta
230,Botão (broche)
231,Brigar (dar porrada)
232,Cabeça fria
233,Câmera
235,Campeão
236,Carpinteiro
237,Carro
238,Católico
239,Causa
240,Centro
242,"Cérebro (de ""ervilha"")"
243,Certificar (atestar)
244,Cerveja
245,Chance
246,Chefe
247,Chocolate
248,Cigarro
249,Círculo
251,Comemorar (celebrar)
252,Confortável
253,Construir
254,Corpo
255,Derramar
257,Desafio
258,Descuidado (irresponsável)
259,Dirigir
260,Doente
262,Empresa
263,Emprestar algo
264,Trapacear
265,Enganar
266,Enterrar
267,Esperto (inteligente)
268,Explodir
269,Federal
270,Feijões
271,Ferver
272,Ficar com vergonha
273,Flor
274,Fofinho
275,Freio
276,Garoto (menino)
277,Garrafa de vinho
278,Garrafa
279,Gato
280,Giz
281,Governo
282,Gravata (borboleta)
283,Igreja
284,Inseto
285,Intervalo (pra descanso)
286,Jogo de damas
287,Jogo
288,Lagarto
289,Levar
290,Liso (sem dinheiro)
291,Loiro
292,Manteiga
293,Marrom
294,Martelo
295,Mas
296,Meio
299,Mudar
300,Não poder
301,Nascer
302,Natal
303,Ocupado
304,Opção
305,Pão
307,Pegar
308,Perigo
311,Péssimo
313,Piscar os olhos
314,Poder
315,Política
316,Ponte
317,Preço
318,Prédio
319,Preto
320,Pulseira
321,Queixo
323,Respirar
324,Sangue
325,Se gabar
326,Seios
327,Simplificar
328,Sutiã
329,Técnico
330,Tirar foto
331,Tórax
332,Traduzir
333,Trazer
334,Vassoura
335,Vela
336,Verificar
337,Frente\Á Frente
338,Antes
339,Bater papo
340,Batida (ritmo)
342,Biscoito
343,Cada
347,Cancelar
348,Capacete
349,Cartão de Crédito
350,Casaco
351,Cidade
352,Coco
353,Coletar
354,Computador
355,Comunicar
356,Conceito
357,Conclusão
358,Condutor
359,Confrontar (enfrentar)
360,Contagem
361,Contato
362,Continuar
363,Cópia
364,Cor
365,Coroa
366,Correspondente
367,Cruz
370,Encorajar
371,Estrangeiro
372,Escova de cabelo
373,Fechado
374,Encerrar
375,Fim de semana
376,Fim
377,Frio
378,Internet
379,Lotado
380,Milho
381,Moeda
382,País
384,Parabéns
385,Pente
386,Portão
387,Prima
388,Primo
389,Progresso
390,Prosseguir
391,Próximo
392,Quebrar
394,Reclamação
395,Resultado
396,Tosse
397,Vamos
398,Venha
399,Vestido
401,Envergonhado
403,Lagarta
404,Perto
405,Abraço
406,Ação
407,Alce
408,Almofada
409,Amargo
410,Ambiente
411,Asno
412,Bebida
413,Búfalo
414,Calmo
415,Cavalo
416,Chão
417,Choro
418,Ciclo
419,Colapso
420,Comer à noite
421,Comportamento (conduta)
423,Controle
424,Veado
425,Cortar
427,Cultura
428,Curioso
429,Currículo
430,Curva
431,Dança
432,Decidir
433,Decorar (ornamentar)
434,Defender (proteger)
435,Demitir
436,Democracia
437,Depender
438,Depósito
439,Desapontamento
440,Desassistido
441,Desgosto
442,Destruir
443,Devolver
444,Dia
445,Diálogo
446,Dinossauro
447,Diploma
448,Direcionar
449,Disciplina
450,Discordar
451,Discriminar
452,Discutir (debater)
453,Distribuir
454,Dividir
455,Divórcio
456,Doce
457,Dólar
458,Médico (doutor)
460,Dúvida (incerteza)
461,Em dobro
462,Encaracolado
464,Enfermeira
465,Entrevista
466,Escapar
467,Escurecer
468,Escuro (sombrio)
469,Especialista
470,Espinha
472,Evitar
474,Explicar
475,Faz
476,Filha
478,Gotejamento
480,Jantar (banquete)
481,Lábia
482,Leão
483,Letra D
484,Breve
486,Menina
487,Mergulho
489,Moral
490,Morrer (falecer)
491,Não
492,Necessário
493,Obscuro
494,Ondulação
496,Paixão
497,Para baixo
499,Pessoa malvada
500,Porco
501,Preso
502,Licença
504,Profundo
505,Protesto
506,Psiquiatra
508,Rosquinha (de massa frita)
509,Sério
510,Show
511,Situação
512,Sonho
513,Suave
514,Sujo
515,Sumir
516,Surgir
517,Teimoso
518,Tigre
519,Tonto (confuso)
521,Tribunal
522,Vaca
524,Afogar
525,Alimentação
526,Amanhã
527,Animado
528,Apaixonar-se
529,Arquivo
530,Associação
531,Autoridade
532,Avaliar
533,Básico
534,Bateria
535,Bêbado
536,Bem
537,Boxe (esporte)
538,Cair
539,Caixa
540,Calculadora
541,Cerca (barreira)
542,Cheio
543,Chique
544,Classe
545,Comer
546,Corado
547,Cotovelo
548,Dedo
549,Delicioso
550,Departamento
551,Deprimir
552,Descobrir
553,e-mail
554,Econômico
555,Educado
556,Ego
557,Elástico
558,Elefante
559,Elétrico
560,Elevador
561,Embaraçar
562,Emergência
563,Emoção
564,Energia
565,Enquanto isso
566,Equipamento
567,Equipe
568,Escolher
569,Etc
570,Exato
571,Excluir
572,Exercite-se
573,Expandir
574,Experiência
575,Experimentar
576,Expressão facial
577,Expressar
578,Face (rosto)
579,Falsidade
580,Falso
581,Família
582,Favorito
583,Fazenda
584,Feliz
585,Financeiro
586,Tornar-se gordo
587,Gosto (sabor)
588,Igual (similar)
589,Impressões digitais
590,Jejum (abstinência)
591,Juntos
592,Letra E
593,Letra F
594,Leve
595,Luta
596,Mais ou menos
597,Medicina
598,Motivar
599,Muito rápido
600,Muito
601,Noite
602,Olho
603,Ontem
604,Organização
605,Pagar
606,Paralelo
607,Perfeito
608,Poderoso
609,Poema
610,Por favor
611,Preocupação
612,Rápido
613,Rede
614,Seco (árido)
615,Sensível (delicado)
617,Sentir
618,Sobrancelha
619,Sociedade
620,Soletrar
621,Sortudo
622,Suficiente
623,Terminar
624,Terra (planeta)
625,Tintura
626,Tirar proveito
627,Todo dia
628,Tomar conta de
629,Amigo
630,Anjo
631,Balanço
632,Barba
635,Chegar a algum lugar
637,Cola
638,Comer com faca
639,Congelar
642,Depois (mais tarde)
643,Desistir
644,Deus
648,Entrar em algo
649,Esquecer
650,Falhar
651,Fantasma
652,Filmadora
653,Flauta
655,Fonte de água
658,Fruta
661,Funeral
662,Futuro
663,Garagem
664,Garfo
665,Gay
667,Golfe
669,Independente
670,Bronzeamento
672,Letra G
673,Livre
674,Lobo
675,Luvas
676,Melhor amigo
677,Objetivo
679,Passo
681,Presente
683,Raposa
685,Reprovado
686,Risadinha
687,Sarampo
688,Sarda
689,Se foi (já era)
692,Sexta-feira
693,Soco
694,Solto
695,Testa
697,Vai
699,Academia
700,Advertir
701,Andorinha
702,Com sede
703,Convocar
705,Fascinar
706,História
707,Luz do sol
708,Nascer do sol
709,Nativo
710,Pôr do sol
711,Queda de energia
712,Resumir
713,Se
714,Sol
715,Suor
716,Superficie lisa
717,Superfície plana
718,Suspeito
719,Verão
721,Acontecer
722,Espere
723,Alto
724,Altura
725,Animal
726,Aparelho auditivo
727,Arma de fogo
728,Avó
729,Avô
730,Bode
731,Bombeiro
732,Buzina
733,Cabeça
734,Cabelo
735,Caçando
736,Calouro
737,Caminhada
738,Cansado
739,Casa
740,Caxumba
741,Céu
742,Chapéu
744,Cinza (cor)
745,Colar grau
746,Como
747,Conduzir
749,Coração
750,Cruel
751,Dar
752,Demitido
753,Desaparecido
754,Difícil
755,Diversão
756,Documento
758,Dormitório
760,Dor de garganta
761,Dor de ouvido
762,Em branco
763,Engraçado
764,Esperança (torcer pra dar certo)
765,Eu amo você
766,Física
767,Flexível
768,Fofoca
769,Fogo
770,Força
771,Função
772,Glória
773,Graduado
774,Gramática
775,Helicóptero
776,Honra
778,Hora
779,Hospital
780,Humilde
781,Ideia
782,Identificar
783,Ignorar
784,Inferno
785,Instituição
786,Jovem
787,Lésbica
788,Letra H
789,Letra I
790,Longe
791,Machucar
792,Mãos
793,Muito tempo atrás
794,Negligenciar
795,Nove
796,Óculos
797,Ódio
798,Oi
799,Óleo
800,Pé
801,Peixe
802,Pessoa encantadora
803,Piedoso
804,Plástico
805,Problema
806,Pulmões
807,Quente
808,Rã (sapo)
809,Relativo
810,Resistente
811,Respeito
812,Rodovia
813,Salsicha
814,Apoio
815,Sem emoção
816,Toda sexta-feira
817,Abacaxi
818,Abrir a porta
819,Abrir a janela
820,Agora
821,Amigável
822,Apontar para
823,Argumentar
824,Aviso
825,Batata
826,Bigode
827,Bonito
828,Brilhar
829,Cadeira de Balanço
830,Cebola
831,Chuva
832,Cirurgia
833,Claro
834,Clima
835,Coelho
836,Colocar
837,Sorvete
838,Ter
839,Título
840,Tocar o coração
841,Uso
842,Uvas
843,Vencer
844,Verde
846,Virar a página
847,Almoço
848,Aprender
849,Beijo
851,Biblioteca
852,Café
853,Carne
854,Chave
855,Ciumento
856,Consertar
857,Criar
858,Deitar-se
859,Drogado
860,Economizar dinheiro
861,Escada
862,Farol
863,Imaturo
864,Importante
865,Inquieto (agitado)
866,Leitura labial
867,Letra J
868,Letra K
869,Letra L
870,Letra M
871,Limite
872,Lista
873,Louco
874,Luz
875,Maconha
876,Magia
877,Matemática
878,Mulher
879,Perceber
880,Preencher
881,Saber
882,Suspender (interrromper)
883,Tamanho
884,Viver
885,À noite toda
886,Ausente
887,Ruído
888,Caro
889,Comissão
890,Confuso
892,Devemos
893,Dinheiro
894,Disponível
895,Encontrar
896,Espelho
897,Eu vejo
898,Faculdade
899,Filme
900,Gravata
901,Legislatura
902,Leite
903,Letra N
904,Lua
905,Macaco
906,Mãe
907,Maioria
908,Mais ainda
909,Mal entendido
910,Mamilos
911,Manhã
912,Meia-noite
913,Meio-dia
914,Memorizar
915,Menstruar
916,Metal
917,Microfone
919,Minuto
920,Misturar
921,Montanha
922,Motocicleta
923,Motor
924,Movimento
925,Museu
926,Música
927,Nariz
928,Negativo
930,Nervoso
931,Nome
932,Norte
933,Novo
936,Nunca
937,Obrigação
938,Pai
939,Poesia
940,Pulsar
941,Rato
942,Se afaste
943,Segunda-feira
944,Sobrinha
945,Toda segunda-feira
946,Triste
947,Uma vez
948,Vazio
949,Veia
950,Zero
951,Alguns
952,Aranha
953,Arrepios
954,Assinatura
955,Às vezes
956,Até agora
957,Enviar
959,Biologia
960,Bisbilhotar
961,Borracha
962,Brilho
963,Cafeteria
964,Desejo
965,Dicionário
966,Enviar mensagem de texto
967,Festa
968,Fora
969,Formulário
970,Contra
971,Grávida
972,Imagem
973,Juiz
974,Laranja
975,Leitura
976,Letra P
977,Letra Q
978,Letra R
979,Ligar
980,Mais
981,Quadrado
982,Razão
983,Recusar
984,Rejeitar
985,Roxo
986,Sair
987,Sanduíche
988,Sem Problemas
989,Sobrinho
990,Solicitação
992,Sofrer
993,Sugerir
994,Nada
995,Nu
996,Obrigado
997,Opinião
998,Orar
999,Orgulhoso
1000,Paciente (conformado)
1001,Pagamento
1004,Papel
1005,Pênis
1006,Perfume
1007,Período
1008,Piano
1009,Pessoa
1010,Piedade
1011,Pintura
1012,Pipoca
1013,Pirata
1014,Pizza
1015,Pobre
1016,Policial
1017,Porcentagem
1018,Pregar a palavra
1019,Presidente
1020,Pressão
1021,Principal
1022,Prioridade
1023,Projeto
1024,Promessa
1025,Pronto
1026,Provar
1027,Transbordar
1028,Travesseiro
1030,Vermelho
1031,Cale-se
1032,Chave de fenda
1033,Cheiro
1034,Chinelo de dedo
1036,Ciência
1037,Começar
1038,Comparar
1040,Constituição
1041,Correto
1042,Corte com tesoura
1043,Costurar
1044,Cronograma
1045,Cuspir
1047,Desculpa
1048,Direito
1049,Dizer
1050,Dormir
1051,Enviar e-mail
1052,Escola
1053,Escravo
1054,Espaguete
1055,Espirrar
1056,Estado
1057,Estrela
1058,Executar
1059,Facada
1060,Filho
1061,Fino
1062,Fortemente picante
1063,Galo
1064,Habilidade
1065,Instituto
1066,Lado
1067,Lembre-se
1068,Lento
1069,Macio
1070,Mais antigo
1072,Meias
